,RIDE,TIME_OF_DAY,count,mean,std,min,25%,50%,75%,max
0,AVATAR FLIGHT PASSAGE,1 PM,12.0,100.61714226833334,13.63422611869377,80.69436851,88.74890219,100.59898104999999,111.10649965,121.3461538
1,AVATAR FLIGHT PASSAGE,10 AM,12.0,101.94265241583332,13.573119304029666,83.51299937,91.9702874725,99.95021880499999,111.18358215,123.7479806
2,AVATAR FLIGHT PASSAGE,10 PM,3.0,21.266007533333333,11.036936843070745,10.91666667,15.458333334999999,20.0,26.440677965,32.88135593
3,AVATAR FLIGHT PASSAGE,11 AM,12.0,104.2358907925,13.304640559611508,86.94637224,91.89147295000001,105.89181095,113.72412055,124.0590659
4,AVATAR FLIGHT PASSAGE,11 PM,2.0,17.5,10.606601717798213,10.0,13.75,17.5,21.25,25.0
5,AVATAR FLIGHT PASSAGE,12 PM,12.0,102.95135039833333,14.916381259683476,78.18674315,90.8313507125,104.0672155,114.647116625,125.5975275
6,AVATAR FLIGHT PASSAGE,2 PM,12.0,89.52558264666665,15.544001542809678,70.11415525,75.30878961250001,91.137695785,101.628895725,112.0254237
7,AVATAR FLIGHT PASSAGE,3 PM,12.0,85.80580264583334,14.907012838198932,64.95104439,73.13435733,85.22521716,100.932238275,105.9212685
8,AVATAR FLIGHT PASSAGE,4 PM,12.0,85.56720508416667,14.668538699722605,65.08143322,72.1704102225,86.41193151,94.595890225,111.1044286
9,AVATAR FLIGHT PASSAGE,5 PM,12.0,85.73476328333334,17.300613628353585,64.32914739,70.0672926425,84.573779545,95.5483635325,114.5398352
10,AVATAR FLIGHT PASSAGE,6 PM,12.0,85.35696460499999,18.539643252416774,61.11111111,72.6485794175,83.374819785,95.07210696,116.3942308
11,AVATAR FLIGHT PASSAGE,7 AM,11.0,45.09786540909091,2.7893825163949493,41.18394649,43.08358498,45.34681373,46.072706030000006,51.57301808
12,AVATAR FLIGHT PASSAGE,7 PM,12.0,89.69353083166665,29.676861361971056,56.27694859,68.12539872,81.675473485,103.0483890825,141.5756036
13,AVATAR FLIGHT PASSAGE,8 AM,11.0,81.59422487545454,8.7585879406228,66.44184028,75.964803875,81.9490085,87.310887155,94.36774194
14,AVATAR FLIGHT PASSAGE,8 PM,9.0,74.59296274333333,35.300407094432494,38.75,45.25,68.31550802,90.22727273,143.125
15,AVATAR FLIGHT PASSAGE,9 AM,12.0,94.96393377750002,12.948378798918027,79.58539604,83.2416180675,92.74431178,102.84592337500001,118.8854003
16,AVATAR FLIGHT PASSAGE,9 PM,3.0,43.56116175333333,16.029259460163555,25.08474576,38.46674263,51.8487395,52.79936975,53.75
17,AVATAR NA'VI RIVER ,1 PM,12.0,76.05002862166667,4.685512183321284,69.90933512,72.1696390925,75.467752735,80.0967108225,82.4868498
18,AVATAR NA'VI RIVER ,10 AM,12.0,68.98894108416667,5.019355370248982,59.62322421,66.46353030750001,69.26186911,71.469950375,77.8280543
19,AVATAR NA'VI RIVER ,10 PM,3.0,17.23116760666667,8.486321937780223,10.08333333,12.541666665000001,15.0,20.805084745000002,26.61016949
20,AVATAR NA'VI RIVER ,11 AM,12.0,77.59925596333333,4.948300152166156,70.00575043,75.291792695,76.29331629500001,79.6294886675,88.92090395
21,AVATAR NA'VI RIVER ,11 PM,2.0,17.5,10.606601717798213,10.0,13.75,17.5,21.25,25.0
22,AVATAR NA'VI RIVER ,12 PM,12.0,76.8252839625,4.3410230336651,70.98785166,73.13201741750001,77.43113748,78.88475104,85.35142857
23,AVATAR NA'VI RIVER ,2 PM,12.0,68.9256794575,5.797721270504929,60.94586729,64.644377745,69.942271105,72.0523640725,79.43220339
24,AVATAR NA'VI RIVER ,3 PM,12.0,68.58694889083334,5.353152497444846,60.56587348,64.07574001,68.91489540500001,72.6564106825,77.24815026
25,AVATAR NA'VI RIVER ,4 PM,12.0,67.6374083075,5.988595649345376,57.29055851,65.12028311,68.16138547,71.244658505,76.70903955
26,AVATAR NA'VI RIVER ,5 PM,12.0,66.38997063583332,8.703553915810582,55.12596899,61.65699656,64.86945027499999,69.4503440175,86.41805094
27,AVATAR NA'VI RIVER ,6 PM,12.0,62.15958070583333,12.107389905918094,48.44400896,51.6598720525,58.74845826,73.714149225,79.05263158
28,AVATAR NA'VI RIVER ,7 AM,12.0,8.34007224625,1.0438404778243462,7.136176066,7.6303221292500005,8.008211041500001,8.57026945975,10.66428571
29,AVATAR NA'VI RIVER ,7 PM,12.0,48.863468748333325,12.129014695376194,34.07131012,38.998579542499996,45.33047812,60.06912321,65.76470588
30,AVATAR NA'VI RIVER ,8 AM,12.0,27.580409528333334,3.785073065274137,20.40441176,25.782418184999997,27.550551525000003,30.1541227075,34.1969697
31,AVATAR NA'VI RIVER ,8 PM,9.0,30.047198516666672,10.499451065800718,16.99186992,21.25,26.6576087,36.81818182,47.72727273
32,AVATAR NA'VI RIVER ,9 AM,12.0,48.97278114083334,4.312123471397118,41.68656716,46.285612965,49.037802755,50.359027707500005,57.36811594
33,AVATAR NA'VI RIVER ,9 PM,3.0,25.40837408333333,12.995052347384648,11.58333333,19.426120445,27.26890756,32.32089446,37.37288136
34,BIG THUNDER MOUNTAIN,1 PM,12.0,46.120527746666674,8.585988973044513,28.5285611,42.0840753775,45.852056625,51.168361250000004,61.05059733
35,BIG THUNDER MOUNTAIN,10 AM,12.0,35.2956578875,7.060696111988105,19.68637347,31.544382005000003,35.560449355,41.55370091,43.13325031
36,BIG THUNDER MOUNTAIN,10 PM,12.0,20.54226748416667,5.374365981159825,11.06334842,17.373071765000002,20.544551855,23.381235755,32.14617169
37,BIG THUNDER MOUNTAIN,11 AM,12.0,42.77726529999999,8.105732574501152,27.28613569,38.075878437499995,41.914706409999994,49.645007735,54.2263122
38,BIG THUNDER MOUNTAIN,11 PM,12.0,11.781481894,2.8845546055836735,8.207941484,10.24735962525,11.422935845,13.597876804999999,18.3127572
39,BIG THUNDER MOUNTAIN,12 AM,12.0,10.17183808075,4.028235919615435,6.602564103,8.01081730775,8.5447641885,10.2060439565,19.875
40,BIG THUNDER MOUNTAIN,12 PM,12.0,42.722479225833325,7.005936835911686,26.43117261,40.09499532,42.909537095,47.4384006075,51.9471831
