PARK,RIDE,LAT,LONG,RTYPE
ANIMAL KINGDOM,AVATAR FLIGHT PASSAGE,28.35482408,-81.59237205,O
ANIMAL KINGDOM,AVATAR NA'VI RIVER ,28.35482408,-81.59159503,B
ANIMAL KINGDOM,EXPEDITION EVEREST,28.35844613,-81.58652512,RC
ANIMAL KINGDOM,KILAMANJARO SAFARIS,28.36070731,-81.59427231,MR
EPCOT,FROZEN EVER AFTER,28.37095934,-81.54650727,B
EPCOT,"REMY'S RATATOUILLE ADVENTRUE",28.36870465,-81.55304236,MR
EPCOT,TEST TRACK,28.37309292,-81.54736715,RC
HOLLYWOOD STUDIOS,SLINKY DOG DASH,28.35633665,-81.56303677,RC
HOLLYWOOD STUDIOS,RISE OF RESISTANCE,28.3548636,-81.56045109,MR
HOLLYWOOD STUDIOS,MICKEY MINNIE RUNAWAY RAILWAY,28.35683558,-81.56058531,MR
HOLLYWOOD STUDIOS,TOWER OF TERROR,28.36031376,-81.5599638,RC
MAGIC KINGDOM,SPACE MOUNTAIN,28.41901971,-81.57747404,RC
MAGIC KINGDOM,SEVEN DWARFS MINE TRAIN,28.42068925,-81.58004899,RC
MAGIC KINGDOM,BIG THUNDER MOUNTAIN,28.42034968,-81.58458904,RC
MAGIC KINGDOM,JUNGLE CRUISE,28.41805797,-81.58339033,B
MAGIC KINGDOM,PETER PAN'S FLIGHT,28.42034163,-81.58185801,MR
