RIDE,MONTH,TIME_OF_DAY,AVERAGE_WAIT_TIME_MIN
SEVEN DWARFS MINE TRAIN,JAN,12 AM,23.14583333
SEVEN DWARFS MINE TRAIN,JAN,7 AM,65.36842105
SEVEN DWARFS MINE TRAIN,JAN,8 AM,68.61529548
SEVEN DWARFS MINE TRAIN,JAN,9 AM,69.91596639
SEVEN DWARFS MINE TRAIN,JAN,10 AM,80.88960205
SEVEN DWARFS MINE TRAIN,JAN,11 AM,94.03208232
SEVEN DWARFS MINE TRAIN,JAN,12 PM,89.28866588
SEVEN DWARFS MINE TRAIN,JAN,1 PM,96.8608799
SEVEN DWARFS MINE TRAIN,JAN,2 PM,102.1521226
SEVEN DWARFS MINE TRAIN,JAN,3 PM,89.25730994
SEVEN DWARFS MINE TRAIN,JAN,4 PM,102.4065421
SEVEN DWARFS MINE TRAIN,JAN,5 PM,94.72981366
SEVEN DWARFS MINE TRAIN,JAN,6 PM,85.64786113
SEVEN DWARFS MINE TRAIN,JAN,7 PM,68.08709677
SEVEN DWARFS MINE TRAIN,JAN,8 PM,71.17647059
SEVEN DWARFS MINE TRAIN,JAN,9 PM,68.39775561
SEVEN DWARFS MINE TRAIN,JAN,10 PM,50.99748533
SEVEN DWARFS MINE TRAIN,JAN,11 PM,33.90946502
SEVEN DWARFS MINE TRAIN,FEB,12 AM,27.77472527
SEVEN DWARFS MINE TRAIN,FEB,7 AM,64.08571429
SEVEN DWARFS MINE TRAIN,FEB,8 AM,66.86528497
SEVEN DWARFS MINE TRAIN,FEB,9 AM,70.00713267
SEVEN DWARFS MINE TRAIN,FEB,10 AM,78.40029762
SEVEN DWARFS MINE TRAIN,FEB,11 AM,93.57247438
SEVEN DWARFS MINE TRAIN,FEB,12 PM,84.72701149
SEVEN DWARFS MINE TRAIN,FEB,1 PM,86.87142857
SEVEN DWARFS MINE TRAIN,FEB,2 PM,91.75324675
SEVEN DWARFS MINE TRAIN,FEB,3 PM,89.29184549
SEVEN DWARFS MINE TRAIN,FEB,4 PM,88.75690608
SEVEN DWARFS MINE TRAIN,FEB,5 PM,85.65247253
SEVEN DWARFS MINE TRAIN,FEB,6 PM,83.73937677
SEVEN DWARFS MINE TRAIN,FEB,7 PM,75.12569832
SEVEN DWARFS MINE TRAIN,FEB,8 PM,59.90427099
SEVEN DWARFS MINE TRAIN,FEB,9 PM,72.09145427
SEVEN DWARFS MINE TRAIN,FEB,10 PM,48.34115806
SEVEN DWARFS MINE TRAIN,FEB,11 PM,36.03960396
SEVEN DWARFS MINE TRAIN,MAR,12 AM,31.29370629
SEVEN DWARFS MINE TRAIN,MAR,7 AM,60.14492754
SEVEN DWARFS MINE TRAIN,MAR,8 AM,72.51325301
SEVEN DWARFS MINE TRAIN,MAR,9 AM,72.20805369
SEVEN DWARFS MINE TRAIN,MAR,10 AM,83.29059829
SEVEN DWARFS MINE TRAIN,MAR,11 AM,94.08150852
SEVEN DWARFS MINE TRAIN,MAR,12 PM,92.73447016
SEVEN DWARFS MINE TRAIN,MAR,1 PM,100.9854497
SEVEN DWARFS MINE TRAIN,MAR,2 PM,99.70406905
SEVEN DWARFS MINE TRAIN,MAR,3 PM,93.38044759
SEVEN DWARFS MINE TRAIN,MAR,4 PM,98.34312573
SEVEN DWARFS MINE TRAIN,MAR,5 PM,97.93942993
SEVEN DWARFS MINE TRAIN,MAR,6 PM,90.52631579
SEVEN DWARFS MINE TRAIN,MAR,7 PM,83.56394641
SEVEN DWARFS MINE TRAIN,MAR,8 PM,73.0471584
SEVEN DWARFS MINE TRAIN,MAR,9 PM,73.98294762
SEVEN DWARFS MINE TRAIN,MAR,10 PM,53.63151659
SEVEN DWARFS MINE TRAIN,MAR,11 PM,35.21311475
SEVEN DWARFS MINE TRAIN,APR,12 AM,27.35169492
SEVEN DWARFS MINE TRAIN,APR,8 AM,77.05466667
SEVEN DWARFS MINE TRAIN,APR,9 AM,74.24594257
SEVEN DWARFS MINE TRAIN,APR,10 AM,84.66932725
SEVEN DWARFS MINE TRAIN,APR,11 AM,99.06949352
SEVEN DWARFS MINE TRAIN,APR,12 PM,96.82727273
SEVEN DWARFS MINE TRAIN,APR,1 PM,101.2622549
SEVEN DWARFS MINE TRAIN,APR,2 PM,97.05701473
SEVEN DWARFS MINE TRAIN,APR,3 PM,92.20638153
SEVEN DWARFS MINE TRAIN,APR,4 PM,96.08602807
SEVEN DWARFS MINE TRAIN,APR,5 PM,91.40474663
SEVEN DWARFS MINE TRAIN,APR,6 PM,88.15947242
SEVEN DWARFS MINE TRAIN,APR,7 PM,84.61770018
SEVEN DWARFS MINE TRAIN,APR,8 PM,66.625
SEVEN DWARFS MINE TRAIN,APR,9 PM,63.71080139
SEVEN DWARFS MINE TRAIN,APR,10 PM,57.88178733
SEVEN DWARFS MINE TRAIN,APR,11 PM,37.5
SEVEN DWARFS MINE TRAIN,MAY,12 AM,34.38016529
SEVEN DWARFS MINE TRAIN,MAY,8 AM,76.25218477
SEVEN DWARFS MINE TRAIN,MAY,9 AM,61.55813953
SEVEN DWARFS MINE TRAIN,MAY,10 AM,69.69471947
SEVEN DWARFS MINE TRAIN,MAY,11 AM,83.9845047
SEVEN DWARFS MINE TRAIN,MAY,12 PM,78.98397436
SEVEN DWARFS MINE TRAIN,MAY,1 PM,82.08557951
SEVEN DWARFS MINE TRAIN,MAY,2 PM,76.23869801
SEVEN DWARFS MINE TRAIN,MAY,3 PM,72.74233896
SEVEN DWARFS MINE TRAIN,MAY,4 PM,75.73725728
SEVEN DWARFS MINE TRAIN,MAY,5 PM,70.63564875
SEVEN DWARFS MINE TRAIN,MAY,6 PM,69.34653465
SEVEN DWARFS MINE TRAIN,MAY,7 PM,69.62037638
SEVEN DWARFS MINE TRAIN,MAY,8 PM,56.28562577
SEVEN DWARFS MINE TRAIN,MAY,9 PM,48.35820896
SEVEN DWARFS MINE TRAIN,MAY,10 PM,52.93196544
SEVEN DWARFS MINE TRAIN,MAY,11 PM,34.50980392
SEVEN DWARFS MINE TRAIN,JUN,12 AM,38.72340426
SEVEN DWARFS MINE TRAIN,JUN,8 AM,74.16446402
SEVEN DWARFS MINE TRAIN,JUN,9 AM,71.09108159
SEVEN DWARFS MINE TRAIN,JUN,10 AM,76.36533816
SEVEN DWARFS MINE TRAIN,JUN,11 AM,94.91377171
SEVEN DWARFS MINE TRAIN,JUN,12 PM,86.42810458
SEVEN DWARFS MINE TRAIN,JUN,1 PM,95.59385666
SEVEN DWARFS MINE TRAIN,JUN,2 PM,99.06557377
SEVEN DWARFS MINE TRAIN,JUN,3 PM,92.23774053
SEVEN DWARFS MINE TRAIN,JUN,4 PM,92.66266582
SEVEN DWARFS MINE TRAIN,JUN,5 PM,86.85091598
SEVEN DWARFS MINE TRAIN,JUN,6 PM,83.31072351
SEVEN DWARFS MINE TRAIN,JUN,7 PM,85.8933162
SEVEN DWARFS MINE TRAIN,JUN,8 PM,77.36228127
SEVEN DWARFS MINE TRAIN,JUN,9 PM,56.82236842
SEVEN DWARFS MINE TRAIN,JUN,10 PM,75.82202112
SEVEN DWARFS MINE TRAIN,JUN,11 PM,42.56147541
SEVEN DWARFS MINE TRAIN,JUL,12 AM,46.375
SEVEN DWARFS MINE TRAIN,JUL,8 AM,70.8240621
SEVEN DWARFS MINE TRAIN,JUL,9 AM,61.91879502
SEVEN DWARFS MINE TRAIN,JUL,10 AM,73.26923077
SEVEN DWARFS MINE TRAIN,JUL,11 AM,91.72141919
SEVEN DWARFS MINE TRAIN,JUL,12 PM,87.1520706
SEVEN DWARFS MINE TRAIN,JUL,1 PM,89.96193772
SEVEN DWARFS MINE TRAIN,JUL,2 PM,91.22661123
SEVEN DWARFS MINE TRAIN,JUL,3 PM,91.41527273
SEVEN DWARFS MINE TRAIN,JUL,4 PM,92.63176638
SEVEN DWARFS MINE TRAIN,JUL,5 PM,88.48260548
SEVEN DWARFS MINE TRAIN,JUL,6 PM,88.29389313
SEVEN DWARFS MINE TRAIN,JUL,7 PM,88.12767475
SEVEN DWARFS MINE TRAIN,JUL,8 PM,75.42515812
SEVEN DWARFS MINE TRAIN,JUL,9 PM,54.81021394
SEVEN DWARFS MINE TRAIN,JUL,10 PM,79.21307506
SEVEN DWARFS MINE TRAIN,JUL,11 PM,51.66666667
SEVEN DWARFS MINE TRAIN,AUG,12 AM,30
SEVEN DWARFS MINE TRAIN,AUG,7 AM,43.53179191
SEVEN DWARFS MINE TRAIN,AUG,8 AM,59.01971522
SEVEN DWARFS MINE TRAIN,AUG,9 AM,59.19440746
